FAGR,TSCA,ACSA,BELU,ACRU,FRAM,PIST
P1,0.152,0.229,0.125,0.154,0.167,0.181,0.230
P2,0.075,0.051,0.159,0.150,0.027,0.030,0.019
A,34.6,29.6,24.8,23.2,25.7,32.5,38.4
S,1.06,0.73,1.87,1.89,1.89,1.69,1.00
U,4.27,5.74,8.84,3.13,7.66,15.80,4.70
V,0.001,0.250,1.58,0.638,1.06,1.90,0.44
h,19.57,59.91,7.44,0.00,3.63,0.32,1.03
Ei,2.75,2.75,0.92,0.92,0.92,0.92,0.92
W,0.152,0.100,0.107,0.109,0.108,0.095,0.087
D,0.664,0.846,0.580,0.539,0.488,0.319,0.413
